"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"ukb-b-6591","ebi-a-GCST006956","Erectile dysfunction || id:ebi-a-GCST006956","Age first had sexual intercourse || id:ukb-b-6591","MR Egger",189,-1.17864563097135,0.458807887499805,0.010981205076329,-2.07790909047097,-0.279382171471736,0.307695189358199,0.125191703251531,0.756250830488002
"ukb-b-6591","ebi-a-GCST006956","Erectile dysfunction || id:ebi-a-GCST006956","Age first had sexual intercourse || id:ukb-b-6591","Weighted median",189,-0.409461941348114,0.143635515516863,0.00436229369881895,-0.690987551761166,-0.127936330935061,0.664007428978198,0.501080981238355,0.879909400369968
"ukb-b-6591","ebi-a-GCST006956","Erectile dysfunction || id:ebi-a-GCST006956","Age first had sexual intercourse || id:ukb-b-6591","Inverse variance weighted",189,-0.468947361891968,0.0999780227018238,2.72532281330373e-06,-0.664904286387543,-0.272990437396394,0.625660515875371,0.51432275303949,0.761100065692369
"ukb-b-6591","ebi-a-GCST006956","Erectile dysfunction || id:ebi-a-GCST006956","Age first had sexual intercourse || id:ukb-b-6591","Simple mode",189,-0.725123017026266,0.448173411806574,0.107349493734712,-1.60354290416715,0.15329687011462,0.484264992451679,0.201182483604317,1.16567098045902
"ukb-b-6591","ebi-a-GCST006956","Erectile dysfunction || id:ebi-a-GCST006956","Age first had sexual intercourse || id:ukb-b-6591","Weighted mode",189,-0.448095831684127,0.430036482145002,0.298752133513983,-1.29096733668833,0.394775673320076,0.638843459653713,0.275004632311504,1.48405124128977
