id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
ebi-a-GCST90000046,ebi-a-GCST006956,Erectile dysfunction || id:ebi-a-GCST006956,Age at first sexual intercourse || id:ebi-a-GCST90000046,MR Egger,51,0.397334665175218,0.666447431388407,0.553787302113959,-0.9089023,1.7035716306965,1.48785377958605,0.4029663173335,5.49353326619706
ebi-a-GCST90000046,ebi-a-GCST006956,Erectile dysfunction || id:ebi-a-GCST006956,Age at first sexual intercourse || id:ebi-a-GCST90000046,Weighted median,51,-0.329626339,0.215463979390965,0.126055275329001,-0.751935739,0.0926830606878467,0.71919241744697,0.471453059034802,1.09711396161507
ebi-a-GCST90000046,ebi-a-GCST006956,Erectile dysfunction || id:ebi-a-GCST006956,Age at first sexual intercourse || id:ebi-a-GCST90000046,Inverse variance weighted,51,-0.363966618,0.151141963399049,0.0160353067890753,-0.660204866,-0.067728369,0.694914392170107,0.516745460071603,0.9345142817089
ebi-a-GCST90000046,ebi-a-GCST006956,Erectile dysfunction || id:ebi-a-GCST006956,Age at first sexual intercourse || id:ebi-a-GCST90000046,Simple mode,51,-0.295636347,0.495232827912498,0.553224897095294,-1.26629269,0.675019995824584,0.744057957822609,0.281874684055732,1.96407224882136
ebi-a-GCST90000046,ebi-a-GCST006956,Erectile dysfunction || id:ebi-a-GCST006956,Age at first sexual intercourse || id:ebi-a-GCST90000046,Weighted mode,51,-0.234885413,0.454498594921099,0.607573478804543,-1.125702659,0.655931833517482,0.790661444334342,0.324424427645253,1.92693726577347
