id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
ebi-a-GCST90000046,ebi-a-GCST006956,Erectile dysfunction || id:ebi-a-GCST006956,Age at first sexual intercourse || id:ebi-a-GCST90000046,MR Egger,26,0.129435069379838,0.934212982790835,0.890961855606633,-1.701622377,1.96049251564987,1.13818520599216,0.182387382816397,7.10282445602897
ebi-a-GCST90000046,ebi-a-GCST006956,Erectile dysfunction || id:ebi-a-GCST006956,Age at first sexual intercourse || id:ebi-a-GCST90000046,Weighted median,26,-0.34457999,0.274259207655141,0.208970028100022,-0.882128037,0.192968056831571,0.708517875452994,0.413901176740428,1.21284405081855
ebi-a-GCST90000046,ebi-a-GCST006956,Erectile dysfunction || id:ebi-a-GCST006956,Age at first sexual intercourse || id:ebi-a-GCST90000046,Inverse variance weighted,26,-0.385123318,0.207974885209148,0.0640577072549079,-0.792754093,0.0225074568999341,0.680366729491901,0.452596584088063,1.02276266077483
ebi-a-GCST90000046,ebi-a-GCST006956,Erectile dysfunction || id:ebi-a-GCST006956,Age at first sexual intercourse || id:ebi-a-GCST90000046,Simple mode,26,-0.344410084,0.553192117706428,0.53919404520137,-1.428666635,0.739846466451311,0.708638267061238,0.23962822121868,2.09561374277901
ebi-a-GCST90000046,ebi-a-GCST006956,Erectile dysfunction || id:ebi-a-GCST006956,Age at first sexual intercourse || id:ebi-a-GCST90000046,Weighted mode,26,-0.27364846,0.512006821013393,0.597743105077961,-1.277181829,0.729884909125912,0.760599409339292,0.27882196217773,2.07484179857582
